Crop,Disease,numberImages
Corn,blight,180
Apple,Scab,77
Squash,Powdery,123
Tomato,healthy,54
Soyabean,healthy,57
Corn,Gray,64
Blueberry,healthy,105
Tomato,Septoria,137
grape,healthy,57
Peach,healthy,103
Tomato,bacterial,98
Potato,late,97
Tomato,mosaic,44
Potato,early,109
Strawberry,healthy,88
Cherry,healthy,47
Bell_pepper,spot,62
Corn,rust,106
Apple,rust,79
grape,black,56
Tomato,late,101
Tomato,Early,74
Tomato,mold,85
Bell_pepper,healthy,53
Tomato,yellow,69
Raspberry,healthy,109
Apple,healthy,82
